,ISBN,book_id,title,author,publisher,year,language
4258,0385333463,12320,His Bright Light - The Story Of Nick Traina,['Danielle Steel'],Delacorte Press,1998,en
4259,0440205573,12321,Star - A Novel,['Danielle Steel'],Dell,1990,en
4260,0440221501,12322,Lightning - A Novel,['Danielle Steel'],Dell,1996,en
4261,0385313012,12323,Silent Honor,['Danielle Steel'],,1996,en
4262,0385333064,12324,The House On Hope Street,['Danielle Steel'],"Random House Digital, Inc.",2000,en
4263,0440201926,12326,Kaleidoscope - A Novel,['Danielle Steel'],Dell,1989,en
4264,0440176484,12329,Secrets - A Novel,['Danielle Steel'],Dell,1986,en
4265,0553576143,12332,The Cry Of The Halidon - A Novel,['Robert Ludlum'],Bantam,1996,en
4266,0446612731,12333,The Black Echo,['Michael Connelly'],Grand Central Pub,2002,en
4267,0670894184,12350,Back Roads,"[""Tawni O'Dell""]",Viking Adult,2000,en
4268,0061092037,12355,The Fourth Estate,['Jeffrey Archer'],Harper Collins,1997,en
4269,0486270629,12361,A Doll's House,['Henrik Ibsen'],Courier Corporation,1992,en
4270,0440236053,12366,Writ Of Execution - A Novel,"[""Perri O'Shaughnessy""]",Dell,2002,en
4271,0066621054,12374,Longaberger (R) - An American Success Story,"['David H. Longaberger', 'Robert L. Shook']",HarperBusiness,2001,en
4272,0345426800,12381,A Perfect Crime,['Peter Abrahams'],,1999,en
4273,0440216818,12382,Daybreak - A Novel,['Belva Plain'],Dell,1994,en
4274,0446526126,12384,Ten Things I Wish I'd Known - Before I Went Out Into The Real World,['Maria Shriver'],Grand Central Publishing,2000,en
4275,0385319568,12387,The Long Road Home,['Danielle Steel'],,1998,en
4276,0062515845,12388,The Invitation,['Oriah'],Harper Collins,1999,en
4277,0679454497,12390,Blood And Gold,['Anne Rice'],Knopf,2001,en
4278,0505525178,12393,Improper English,['Katie MacAlister'],,2003,en
4279,0553575414,12397,Cat On The Scent - A Mrs. Murphy Mystery,['Rita Mae Brown'],Bantam,2000,en
4280,0441008658,12399,Spindle's End,['Robin McKinley'],Ace,2001,en
4281,0345368991,12400,The Chronicles Of Pern: First Fall,['Anne McCaffrey'],Del Rey,1994,en
4282,038542017X,12402,"Like Water For Chocolate - A Novel In Monthly Installments With Recipes, Romances, And Home Remedies",['Laura Esquivel'],Vintage,1995,en
4283,0515135305,12406,Catching Midnight,['Emma Holly'],Penguin,2003,en
4284,0380807947,12421,A Season Beyond A Kiss,['Kathleen E. Woodiwiss'],Avon,2001,en
4285,0380005255,12422,The Flame And The Flower,['Kathleen E. Woodiwiss'],Avon,1972,en
4287,0671010085,12429,One Pink Rose,['Julie Garwood'],,1997,en
4288,0671010093,12430,One White Rose,['Julie Garwood'],,1997,en
4289,0345457641,12433,A Thousand Days In Venice - An Unexpected Romance,['Marlena De Blasi'],,2003,en
4290,078686219X,12444,Living The Simple Life - A Guide To Scaling Down And Enjoying More,['Elaine St. James'],Hyperion Books,1996,en
4291,0515111317,12449,The Heiress Bride - Bride Series,['Catherine Coulter'],Penguin,1993,en
4293,0446350109,12453,Windmills Of The Gods,['Sidney Sheldon'],Grand Central Publishing,1988,en
4295,0553574574,12465,Beach Music,['Pat Conroy'],Bantam,1996,en
4296,0812534832,12466,Demons Don't Dream,['Piers Anthony'],Macmillan,1994,en
4298,0140434895,12471,Great Expectations,['Charles Dickens'],Penguin Classics,1996,en
4299,0060194790,12474,Waiting - The True Confessions Of A Waitress,['Debra Ginsberg'],Harper,2000,en
4300,0452280397,12475,Paradise,['Toni Morrison'],Penguin Hardcover,1997,en
4302,0812521145,12478,Jinx High,['Mercedes Lackey'],Tor Books,1991,en
4303,0140265988,12483,Falling Leaves Return To Their Roots - The True Story Of An Unwanted Chinese Daughter,['Adeline Yen Mah'],ePenguin,1997,en
4305,0465026567,12489,"Godel, Escher, Bach - An Eternal Golden Braid",['Douglas R. Hofstadter'],Basic Books,1999,en
4306,0140390448,12497,Walden And Civil Disobedience,['Henry David Thoreau'],Penguin,1983,en
4307,0345391373,12516,An Incomplete Education,"['Judy Jones', 'William Wilson']","Random House Digital, Inc.",1995,en
4308,0679419616,12520,From Beginning To End - The Rituals Of Our Lives,['Robert Fulghum'],,1995,en
4310,0375724443,12537,Ava's Man,['Rick Bragg'],"Random House Digital, Inc.",2001,en
4312,034541005X,12539,The Power Of One - A Novel,['Bryce Courtenay'],Ballantine Books,1996,en
4314,0590477382,12556,Goosebumps,['R. L. Stine'],,1992,en
4315,0590466186,12557,The Girl Who Cried Monster,['R. L. Stine'],Scholastic Paperbacks,1993,en
4316,0006742939,12566,The Weirdstone Of Brisingamen - A Tale Of Alderley,['Alan Garner'],,1999,en
4317,0688163165,12568,Mystic River - A Novel,['Dennis Lehane'],Harper Collins,2001,en
4319,0060557540,12570,The Known World,['Edward P. Jones'],Harper Collins,2003,en
4320,0525947671,12571,The Lady And The Unicorn,['Tracy Chevalier'],Dutton Juvenile,2004,en
4322,0440147956,12578,Light A Penny Candle,['Maeve Binchy'],Dell,1989,en
4324,0763616052,12580,Because Of Winn-Dixie,['Kate DiCamillo'],Candlewick Press (MA),2000,en
4325,0380432811,12581,Bridge To Terabithia,['Katherine Paterson'],"Manitoba Department of Education, Special Materials Services], 1981. (Winnipeg : University of Manitoba Computer Braille Services)",1979,en
4326,0440212359,12582,London Transports,['Maeve Binchy'],National Geographic Books,1995,en
4327,0671009443,12591,Private Parts,['Howard Stern'],Simon and Schuster,1997,en
4328,0060529148,12594,"Give Me A Break - How I Exposed Hucksters, Cheats, And Scam Artists And Became The Scourge Of The Liberal Media",['John Stossel'],Harper,2004,en
4329,006104444X,12595,Zen Attitude,['Sujata Massey'],HarperTorch,1998,en
4330,0836226844,12598,"Forever, Erma - Best-Loved Writing From America's Favorite Humorist",['Erma Bombeck'],Andrews McMeel Pub,1996,en
4331,0515113328,12599,The Cat Who Went Into The Closet,['Lilian Jackson Braun'],Penguin,1994,en
4332,0345368436,12600,Douglas Adams's Starship Titanic - A Novel,['Terry Jones'],Ballantine Books,1998,en
4333,0515093203,12601,The Cat Who Played Post Office,['Lilian Jackson Braun'],Penguin,1987,en
4334,0446525731,12602,The Christmas Train,['David Baldacci'],Grand Central Pub,2002,en
4335,0515107867,12604,The Cat Who Knew A Cardinal,['Lilian Jackson Braun'],Penguin,1992,en
4336,0684813637,12608,John Adams,['David McCullough'],Simon and Schuster,2001,en
4337,0515132268,12614,The Cat Who Smelled A Rat,['Lilian Jackson Braun'],Berkley,2002,en
4338,0451205685,12617,Gruel And Unusual Punishment - A Pennsylvania Dutch Mystery With Recipes,['Tamar Myers'],Signet Book,2003,en
4339,0451190572,12618,Coffey On The Mile,['Stephen King'],Signet Book,1996,en
4340,8845205118,12620,Il piccolo principe,['Antoine de Saint-Exupéry'],,1999,it
4341,0525940413,12622,So Far,['Kelsey Grammer'],Dutton Adult,1995,en
4343,0441516645,12639,Glory Lane,['Alan Dean Foster'],,1987,en
4344,0671601075,12640,"Life, The Universe And Everything",['Douglas Adams'],,1982,en
4345,0671532642,12642,The Restaurant At The End Of The Universe,['Douglas Adams'],,1982,en
4347,0515109509,12656,The Cat Who Moved A Mountain,['Lilian Jackson Braun'],Penguin,1992,en
4348,0446355569,12657,The City Of Joy,['Dominique Lapierre'],Grand Central Publishing,1988,en
4349,0679437851,12664,An Anthropologist On Mars - Seven Paradoxical Tales,['Oliver Sacks'],Knopf Publishing Group,1995,en
4350,0446522252,12666,Reason For Hope - A Spiritual Journey,"['Jane Goodall', 'Phillip Berman']",Grand Central Publishing,1999,en
4352,0553273817,12688,A Canticle For Leibowitz,['Walter Miller'],Spectra,1961,en
4353,0836217241,12691,The Far Side Gallery 4,['Gary Larson'],Andrews McMeel Publishing,1993,en
4354,0449208281,12695,The Unexpected Mrs. Pollifax,['Dorothy Gilman'],Fawcett,1985,en
4356,0425158497,12702,A Cold-Blooded Business,['Dana Stabenow'],Berkley,1995,en
4357,0099272687,12705,A Patchwork Planet,['Anne Tyler'],Arrow,1999,en
4358,0345338588,12712,On A Pale Horse,['Piers Anthony'],Del Rey,1986,en
4359,0345318854,12713,With A Tangled Skein,['Piers Anthony'],National Geographic Books,1986,en
4360,0061097101,12715,The Saving Graces - A Novel,['Patricia Gaffney'],Harper Collins,2000,en
4362,0345380975,12730,Stranger At The Wedding,['Barbara Hambly'],Del Rey,1994,en
4363,055327449X,12732,The Illustrated Man,['Ray Bradbury'],Spectra,1951,en
4364,0425093328,12733,The Cat Who Walks Through Walls - A Comedy Of Manners,['Robert Anson Heinlein'],Berkley,1986,en
4365,0312979533,12734,A Place Of Execution,['Val McDermid'],Macmillan,2001,en
4366,1569470154,12735,The Queen And I,['Sue Townsend'],Soho PressInc,1993,en
4367,0679879269,12738,His Dark Materials: The Amber Spyglass (Book 3),['Philip Pullman'],Knopf Books for Young Readers,2000,en
4368,0679879250,12739,His Dark Materials: The Subtle Knife (Book 2),['Philip Pullman'],National Geographic Books,1997,en
4369,0060951303,12740,La Casa de Los Espiritus,['Isabel Allende'],Rayo,1995,es
4370,0393310396,12744,Letters To A Young Poet,['Rainer Maria Rilke'],W. W. Norton & Company,1993,en
4371,0451159497,12746,Sphinx,['Robin Cook'],Penguin,1983,en
4372,0425155404,12748,Invasion,['Robin Cook'],Berkley,1997,en
4373,0140231900,12751,Mr. Vertigo,['Paul Auster'],Penguin Books,1995,en
4374,0451458222,12759,The Summer Tree,['Guy Gavriel Kay'],National Geographic Books,2001,en
4375,0618002243,12762,The Return Of The King - Being The Third Part Of The Lord Of The Rings,['John Ronald Reuel Tolkien'],Mariner Books,1994,en
4377,0618002227,12764,The Fellowship Of The Ring - Being The First Part Of The Lord Of The Rings,['John Ronald Reuel Tolkien'],,1965,en
4378,0452262933,12766,1984 - 75Th Anniversary,['George Orwell'],Berkley,1983,en
4379,0679740678,12769,The Man In The High Castle,['Philip K. Dick'],Vintage,1992,en
4380,0060294884,12773,PAPER DOORWAY,['Dean Koontz'],HarperCollins,2001,en
4381,006447108X,12778,The Last Battle (Rack),['C. S. Lewis'],HarperCollins,1984,en
4382,0451409973,12779,Julie And Romeo,['Jeanne Ray'],Onyx Books,2001,en
4383,067187098X,12796,For The Roses,['Julie Garwood'],Simon and Schuster,1996,en
4385,0140620753,12800,Northanger Abbey,['Jane Austen'],"Penguin Books, Limited (UK)",1994,en
4386,0689714335,12801,The Cat Who Went To Heaven,['Elizabeth Coatsworth'],Simon & Schuster/Paula Wiseman Books,1990,en
4387,0064401103,12805,Heaven To Betsy,['Maud Hart Lovelace'],HarperTrophy,1945,en
4389,0786889322,12827,I'm Not Really Here,['Tim Allen'],Hyperion,1997,en
4391,3379015180,12842,Schlafes Bruder - Roman,['Robert Schneider'],,1994,de
4392,0451078721,12843,The Shining,['Stephen King'],Signet Book,1978,en
4393,0375411070,12846,Basket Case,['Carl Hiaasen'],Knopf,2002,en
4394,0440343690,12858,I Heard The Owl Call My Name,['Margaret Craven'],Dell,1980,en
4395,1853260231,12861,"Frankenstein, Or, The Modern Prometheus","['Mary Wollstonecraft Shelley', 'Mary Shelley']",Wordsworth Editions,1993,en
4396,0553256653,12866,Flowers For Algernon,['Daniel Keyes'],Bantam,1967,en
4397,0802135226,12869,The Passion,['Jeanette Winterson'],"Winterson, Jeanette Winterson",1997,en
4399,0446678457,12888,Cane River,['Lalita Tademy'],Grand Central Publishing,2002,en
4400,0345410998,12889,Street Boys - A Novel,['Lorenzo Carcaterra'],National Geographic Books,2003,en
4401,0399149155,12890,Q Is For Quarry,['Sue Grafton'],Marian Wood Books/Putnam,2002,en
4402,0440178002,12893,Johnny Got His Gun,['Dalton Trumbo'],,1970,en
4403,1573220167,12897,High Fidelity,['Nick Hornby'],,1995,en
4404,0060976241,12901,The Lone Ranger And Tonto Fistfight In Heaven,['Sherman Alexie'],Harper Perennial,1994,en
4405,0767905202,12902,Mr. Maybe - A Novel,['Jane Green'],Crown,2002,en
4407,0618131736,12919,The Best American Short Stories 2002,"['Sue Miller', 'Katrina Kenison']",Mariner Books,2002,en
4408,0688170528,12921,The Pact - A Love Story,['Jodi Picoult'],Harper Perennial,1999,en
4409,0743225082,12922,Man And Boy - A Novel,['Terence Rattigan'],Simon and Schuster,1964,en
4410,0425184943,12924,Blue Diary,['Alice Hoffman'],Penguin,2002,en
4411,067086014X,12926,Songs In Ordinary Time,['Mary McGarry Morris'],,1995,en
4412,0312977409,12931,House Of Dreams,['Brenda Joyce'],Macmillan,2001,en
4414,055358183X,12940,The Bride And The Beast,['Teresa Medeiros'],Bantam,2001,en
4415,0671867164,12943,The Lottery Winner - Alvirah And Willy Stories,['Mary Higgins Clark'],,1994,en
4416,0394589955,12950,Vox - A Novel,['Nicholson Baker'],Random House (NY),1992,en
4418,0836220498,12955,Night Of The Crash-Test Dummies,['Gary Larson'],Andrews McMeel Publishing,1988,en
4419,1551660717,12977,Forbidden Fruit,['Erica Spindler'],MIRA,1996,en
4420,0451199685,12978,False Pretenses,['Catherine Coulter'],Signet Book,2000,en
4421,0679441018,12985,Memnoch The Devil - The Vampire Chronicles,['Anne Rice'],Knopf,1995,en
4422,0345377648,12986,Lasher - A Novel,['Anne Rice'],,1993,en
4423,0679723005,12993,The Book - On The Taboo Against Knowing Who You Are,['Alan Watts'],Vintage,1989,en
4424,0345310020,13003,Chronicle Of A Death Foretold,['Gabriel García Márquez'],,1984,en
4425,0064403688,13006,Jacob Have I Loved,['Katherine Paterson'],HarperCollins,1990,en
4426,0064472795,13007,Princess In The Spotlight,['Meg Cabot'],Harper Collins,2002,en
4427,0140434941,13011,David Copperfield,['Charles Dickens'],Penguin,1996,en
4428,0689835337,13014,The Watcher,['James Howe'],Atheneum Books for Young Readers,2001,en
4430,0553210351,13022,The Death Of Ivan Ilyich,['graf Leo Tolstoy'],Bantam Classics,1981,en
4431,0671528165,13025,People Of The Lie - The Hope For Healing Human Evil,['Morgan Scott Peck'],Touchstone,1985,en
4432,3596237874,13030,Beim nächsten Mann wird alles anders - Roman,['Eva Heller'],Fisher,1987,de
4434,0553269631,13039,The Heart Is A Lonely Hunter,['Carson McCullers'],Bantam,1953,en
4436,0671887173,13041,Daily Reflections For Highly Effective People - Living THE SEVEN HABITS OF HIGHLY SUCCESSFUL PEOPLE Every Day,['Stephen R. Covey'],Simon and Schuster,1994,en
4437,0915811006,13047,Way Of The Peaceful Warrior - A Book That Changes Lives,['Dan Millman'],Hj Kramer,1984,en
4438,0786880708,13052,"Wherever You Go, There You Are - Mindfulness Meditation In Everyday Life",['Jon Kabat-Zinn'],Hyperion,2005,en
4439,0849916836,13061,He Did This Just For You,['Max Lucado'],Thomas Nelson Inc,2001,en
4440,3499121581,13064,Rubinroter Dschungel,['Rita Mae Brown'],,1987,de
4442,0380728249,13068,Almost Adam - A Novel,['Petru Popescu'],Avon Books,1997,en
4443,0380792648,13069,Subterranean,['James Rollins'],Harper,1999,en
4444,0451171128,13073,Cat On A Hot Tin Roof,['Tennessee Williams'],Signet Classics,1985,en
4445,0140620850,13075,Vanity Fair,['William Makepeace Thackeray'],Penguin Mass Market,1994,en
4446,0871138018,13084,The Toughest Indian In The World,['Sherman Alexie'],,2000,en
4448,0679751319,13094,Dead Man Walking - The Eyewitness Account Of The Death Penalty That Sparked A National Debate,['Helen Prejean'],Vintage,1994,en
4450,0449910237,13106,Moo,['Jane Smiley'],Ballantine Books,1996,en
4452,0399148701,13128,Red Rabbit,['Tom Clancy'],G.P. Putnam's Sons,2002,en
4453,0399131493,13129,Red Storm Rising,['Tom Clancy'],Putnam Adult,1986,en
4454,0679736395,13133,Darkness Visible - A Memoir Of Madness,['William Styron'],Vintage,1992,en
4455,0394726251,13139,The Discoverers - A History Of Man's Search To Know His World And Himself,['Daniel J. Boorstin'],Vintage,1985,en
4456,0834800799,13142,"Zen Mind, Beginner's Mind",['Shunryū Suzuki'],"Weatherhill, Incorporated",1970,en
4457,0837850681,13143,The Story Of Jonah,['Alice Joyce Davidson'],,1984,en
4458,0425150143,13150,Mirror Image - Op-Center 02,"['Tom Clancy', 'Steve Pieczenik', 'Jeff Rovin']",Berkley,1995,en
4459,0743234693,13156,The Footprints Of God,['Greg Iles'],Scribner Book Company,2003,en
4460,019281513X,13157,Jane Eyre - Die Waise Von Lowood,['Charlotte Brontë'],,1976,en
4461,0061096113,13168,Mistaken Identity,['Lisa Scottoline'],HarperTorch,2000,en
4462,0812575970,13169,The Bishop And The Beggar Girl Of St. Germain - A Bishop Blackie Ryan Novel,['Andrew M. Greeley'],Macmillan,2002,en
4463,0805029648,13175,Dave Barry's Bad Habits - A 100% Fact-Free Book,['Dave Barry'],Macmillan,1993,en
4464,0345409973,13178,The Cobra Event - A Novel,['Richard Preston'],Ballantine Books,1998,en
4465,0671743074,13179,Gone South,['Robert McCammon'],Simon and Schuster,1993,en
4466,0345413865,13180,Billy Straight - A Novel,['Jonathan Kellerman'],"Random House Digital, Inc.",1999,en
4467,0446609404,13183,Cradle And All,['James Patterson'],Vision,2001,en
4468,0671785214,13186,Home Town,['Tracy Kidder'],Simon and Schuster,2000,en
4470,0374522928,13190,Call It Sleep - A Novel,['Henry Roth'],"Farrar, Straus and Giroux",1992,en
4471,1573221937,13192,How To Be Good,['Nick Hornby'],Penguin,2001,en
4472,0441002935,13193,The Lunatic Cafe,['Laurell K. Hamilton'],Ace,1996,en
4473,0441000916,13194,The Laughing Corpse,['Laurell K. Hamilton'],Ace,1994,en
4474,0140043128,13198,One Flew Over The Cuckoo's Nest,['Ken Kesey'],Penguin Books,1976,en
4475,0060557257,13201,Sushi For Beginners,['Marian Keyes'],HarperTorch,2004,en
4476,0373835876,13203,Simply Sinful,['Carly Phillips'],Harlequin,2000,en
4477,037383599X,13204,Simply Sensual,['Carly Phillips'],Harlequin,2004,en
4479,0380812010,13208,All About Love,['Stephanie Laurens'],Avon,2001,en
4480,0312983301,13209,Full Blast,"['Janet Evanovich', 'Charlotte Hughes']","Farrar, Straus, and Giroux",2004,en
4481,0440236606,13211,Slightly Sinful,['Mary Balogh'],Dell Publishing Company,2004,en
4482,0553586203,13214,The Wedding Game,['Jane Feather'],Bantam,2004,en
4483,0373790473,13215,Hot On Her Tail,['Karen Anders'],Harlequin Books,2002,en
4484,0373790481,13216,My Sexiest Mistake,['Kristin Hardy'],Harlequin Books,2002,en
4485,0373483694,13217,The MacGregor Grooms,['Nora Roberts'],Silhouette,1998,en
4486,1551669374,13218,Sisters Found,['Joan Johnston'],MIRA,2002,en
4487,0553583913,13227,Castles In The Mist,['Josie Litton'],Bantam,2002,en
4488,1551669234,13228,Stonebrook Cottage,['Carla Neggers'],MIRA,2003,en
4489,0804119538,13229,The Defiant Hero,['Suzanne Brockmann'],Ivy Books,2001,en
4490,0440225299,13230,Numbered Account - A Novel,['Christopher Reich'],Dell,1998,en
4491,0553295101,13232,Life 101 - Everything We Wish We Had Learned About Life In School--But Didn't,"['John Roger McWilliams', 'John-Roger', 'Peter McWilliams']",Bantam Books,1991,en
4492,0886778581,13235,Green Rider,['Kristen Britain'],Astra Publishing House,2000,en
4496,0440219779,13271,The Voice On The Radio,['Caroline B. Cooney'],Laurel Leaf,1998,en
4497,038072913X,13272,The Maze,['Will Hobbs'],HarperCollins,1999,en
4499,0671695126,13284,Secrets Of The Morning,['V.C. Andrews'],Pocket Books,1991,en
4500,0671443283,13285,Seeds Of Yesterday,['Virginia C. Andrews'],,1984,en
4501,0425144372,13288,Clear And Present Danger,['Tom Clancy'],Berkley Books,1989,en
4502,055323336X,13292,The God Project,['John Saul'],Bantam,1983,en
4505,044024126X,13313,Taken - A Novel,['Thomas H. Cook'],Dell,2002,en
4506,0671729403,13318,Fallen Hearts,['V.C. Andrews'],Pocket Books,1990,en
4507,0671729438,13319,Gates Of Paradise,['V.C. Andrews'],Pocket Books,1990,en
4509,067172939X,13324,Dark Angel,['V.C. Andrews'],Pocket Books,1990,en
4510,0671729446,13325,Heaven,['V.C. Andrews'],Pocket Books,1985,en
4511,0028604199,13336,Once Upon A More Enlightened Time - More Politically Correct Bedtime Stories,['James Finn Garner'],MacMillan Publishing Company,1995,en
4512,0671526022,13341,The Color Purple,['Alice Walker'],Pocket Books,1983,en
4513,0451182006,13361,Mortal Pursuit,['Brian Harper'],Signet,1997,en
4514,0425186709,13362,Mission Of Honor - Op-Center 09,"['Tom Clancy', 'Steve Pieczenik']",Penguin,2002,en
4515,0671026682,13363,Serpent - A Novel From The NUMA Files,"['Clive Cussler', 'Paul Kemprecos']",Pocket Books,2000,en
4516,0399151613,13365,The Jane Austen Book Club,['Karen Joy Fowler'],Putnam Adult,2004,en
4517,0330314971,13366,Foucault's Pendulum,['Umberto Eco'],MacMillan,1990,en
4518,0679729798,13371,The Sheltering Sky,['Paul Bowles'],Vintage,1990,en
4519,0843949090,13382,Bliss,['Lynsay Sands'],,2001,en
4520,0684834731,13398,The Locket,['Richard Paul Evans'],,1998,en
4521,0140167153,13432,Your Money Or Your Life - Transforming Your Relationship With Money And Achieving Financial Independence,"['Joe Dominguez', 'Joseph R. Dominguez', 'Vicki Robin']",Penguin Mass Market,1993,en
4522,0743204832,13435,Bitterroot,['James Lee Burke'],,2001,en
4523,0553561723,13440,Burning Time,['Leslie Glass'],Bantam,1995,en
4524,0451204158,13443,Black Sunday,['Thomas Harris'],Berkley,2001,en
4525,0345373707,13447,Cry To Heaven - A Novel,['Anne Rice'],Ballantine Books,1991,en
4526,0440180090,13449,"Slapstick, Or, Lonesome No More! - A Novel",['Kurt Vonnegut'],Dell Publishing Company,1989,en
4527,0670839531,13450,Needful Things,['Stephen King'],,1991,en
4528,0446358584,13451,The Talbot Odyssey,['Nelson DeMille'],Grand Central Publishing,1991,en
4530,0671014218,13453,The Mulberry Tree,['Jude Deveraux'],Beyond Words/Atria Books,2002,en
4533,0380013207,13465,The Lathe Of Heaven,['Ursula K. Le Guin'],Avon Books,1973,en
4535,0441010512,13470,Club Dead,['Charlaine Harris'],Penguin,2003,en
4536,0887308589,13471,"The Dilbert Principle - A Cubicle's-Eye View Of Bosses, Meetings, Management Fads & Other Workplace Afflictions",['Scott Adams'],Harper Collins,1997,en
4538,0385503954,13494,Atonement - A Novel,[''],Nan A. Talese,2001,en
4539,0375502947,13495,"Georgiana, Duchess Of Devonshire",['Amanda Foreman'],Random House Incorporated,1999,en
4540,0375718990,13501,The Pursuit Of Love - & Love In A Cold Climate : Two Novels,['Nancy Mitford'],Vintage,1982,en
4541,088730866X,13504,The Dilbert Future - Thriving On Stupidity In The Twenty-First Century,['Scott Adams'],HarperBusiness,1997,en
4543,0385507607,13515,The Probable Future,['Alice Hoffman'],"Random House Digital, Inc.",2003,en
4544,0743206061,13516,The Second Time Around,['Mary Higgins Clark'],,2003,en
4545,0553802453,13518,No One To Trust,['Iris Johansen'],Bantam,2002,en
4546,0399148469,13520,Hunting Season,['Nevada Barr'],Putnam Adult,2002,en
4548,0553802461,13522,Dead Aim,['Iris Johansen'],Bantam,2003,en
4549,0440224071,13523,Los Alamos - A Novel,['Joseph Kanon'],"Random House Digital, Inc.",1998,en
4550,0440174643,13525,Roots - The Saga Of An American Family,['Alex Haley'],,1978,en
4551,0449221393,13526,Driving Force,['Dick Francis'],Fawcett,1993,en
4552,0449147282,13530,Milk And Honey,['Faye Kellerman'],Fawcett,1990,en
4553,0553275100,13535,The Butcher's Theater,['Jonathan Kellerman'],Bantam,1989,en
4555,0345323750,13540,Life And Loves Of A She Devil - A Novel,['Fay Weldon'],Ballantine Books,1985,en
4556,0345346904,13548,Gateway,['Frederik Pohl'],Del Rey,1977,en
4557,0099769913,13602,The Songlines,['Bruce Chatwin'],Random House,1998,en
4558,0345391837,13635,"So Long, And Thanks For All The Fish",['Douglas Adams'],National Geographic Books,1999,en
4560,0310209307,13645,The Case For Christ - A Journalist's Personal Investigation Of The Evidence For Jesus,['Lee Strobel'],Zondervan,1998,en
4561,0060177888,13646,All I Know About Animal Behavior I Learned In Loehmann's Dressing Room,['Erma Bombeck'],Harpercollins,1995,en
4562,0440214114,13647,Mixed Blessings - A Novel,['Danielle Steel'],Dell,1993,en
4563,0671016652,13648,Three Wishes,['Barbara Delinsky'],Pocket Books,1998,en
4564,0312099436,13654,Women Of The Silk - A Novel,['Gail Tsukiyama'],Macmillan,1991,en
4565,0446357421,13658,If Tomorrow Comes,['Sidney Sheldon'],Grand Central Publishing,1988,en
4566,0399141065,13666,Contagion,['Robin Cook'],Putnam Adult,1995,en
4567,0553212478,13673,"Frankenstein, Or, The Modern Prometheus",['Mary Wollstonecraft Shelley'],,1967,en
4568,0842329242,13679,Nicolae - The Rise Of Antichrist,"['Tim LaHaye', 'Tim F. LaHaye', 'Jerry B. Jenkins']",,1997,en
4569,0553106333,13680,Ashes To Ashes,['Tami Hoag'],Bantam,1999,en
4570,0395683297,13681,Silent Spring,['Rachel Carson'],,1994,en
4571,0425168298,13684,Secret Prey,['John Sandford'],Berkley,1999,en
4572,1566193087,13685,Wuthering Heights,['Emily Brontë'],Dorset Press,1994,en
4573,0553213423,13686,Great Expectations,['Charles Dickens'],Bantam Classics,1982,en
4574,0345433165,13688,The Right Hand Of Evil,['John Saul'],Ballantine Books,1999,en
4575,067084943X,13693,The Book Of Guys - Stories,['Garrison Keillor'],Viking Adult,1993,en
4576,0486264661,13698,Selected Poems,['Emily Dickinson'],Courier Corporation,1990,en
4577,048627053X,13702,Notes From The Underground,['Fyodor Dostoyevsky'],Courier Corporation,1992,en
4579,0316898163,13712,"River, Cross My Heart",['Breena Clarke'],"Little, Brown",2000,en
4580,0937611018,13713,You Can Heal Your Life,['Louise Hay'],Hay House Incorporated,1984,en
4581,0140003185,13720,"I, Claudius - From The Autobiography Of Tiberius Claudius, Emperor Of The Romans, Born B.C. 10, Murdered And Deified A.D. 54",['Robert Graves'],,1978,en
4582,0385285965,13725,Legends Of The Fall,['Jim Harrison'],Delta,1994,en
4583,0140017917,13726,The Power And The Glory,['Graham Greene'],Penguin (Non-Classics),1977,en
4585,0345373529,13734,Ruby Knight,['David Eddings'],Del Rey,1991,en
4586,0446357448,13744,Bloodline,['Sidney Sheldon'],Grand Central Publishing,1988,en
4587,0060510323,13750,La Ciudad de las Bestias,['Isabel Allende'],Harper Collins,2003,es
4588,0671689746,13753,Sweet Liar,['Jude Deveraux'],Pocket Books,1993,en
4590,0439104645,13764,I Choose You!,['Tracey West'],Scholastic Paperbacks,1999,en
4592,0553347756,13783,Wild Mind - Living The Writer's Life,['Natalie Goldberg'],Bantam,1990,en
4593,1551664348,13789,Montana,['Debbie Macomber'],MIRA,1998,en
4594,0061099732,13790,Outer Banks,['Anne Rivers Siddons'],Harper Collins,1992,en
4595,3518366823,13797,Piktor's Verwandlungen - ein Märchen : ein Spass für die Freunde in Kilchberg,[''],,1954,de
4596,0515110396,13804,Compelling Evidence,['Steve Martini'],Jove,1993,en
4597,0385335555,13805,Tell No One - A Novel,['Harlan Coben'],,2001,en
4598,0385729332,13809,The Sisterhood Of The Traveling Pants,['Ann Brashares'],,2001,en
4599,0385333005,13811,Driving Mr. Albert - A Trip Across America With Einstein's Brain,['Michael Paterniti'],,2000,en
4600,0671517635,13812,Gumpisms - The Wit And Wisdom Of Forrest Gump,['Winston Groom'],,1994,en
4601,0505525542,13827,Sex And The Single Vampire,['Katie MacAlister'],,2004,en
4602,0061099155,13829,People Of Darkness,['Tony Hillerman'],HarperTorch,1991,en
4604,0345315715,13873,The Robots Of Dawn,['Isaac Asimov'],Del Rey,1983,en
4605,1551667010,13876,The Soul Catcher,['Alex Kava'],MIRA,2003,en
4606,0425168220,13877,State Of Siege - Op-Center 06,"['Tom Clancy', 'Steve Pieczenik', 'Jeff Rovin']",National Geographic Books,1999,en
4607,0440220793,13878,The 13Th Juror - A Novel,['John T. Lescroart'],"Random House Digital, Inc.",1995,en
